SPECIES	Longitude	Latitude
Amphilophium racemosum 	-76.6610	5.6940
Amphilophium racemosum 	-76.5300	5.5030
Amphilophium racemosum 	-72.8330	1.1160
Amphilophium racemosum 	-75.7250	1.4870
Amphilophium racemosum 	-74.7500	6.0830
Amphilophium racemosum 	-74.8000	6.1000
Amphilophium racemosum 	-76.0350	6.8130
Amphilophium racemosum 	-75.3510	7.5820
Amphilophium racemosum 	-74.7500	6.0000
Amphilophium racemosum 	-69.4260	-1.3830
Amphilophium racemosum 	-70.6500	0.1330
Amphilophium racemosum 	-69.7440	-2.8780
Amphilophium racemosum 	-70.0000	-3.0330
Amphilophium racemosum 	-71.8890	-0.7580
Amphilophium racemosum 	-72.3370	-0.3420
Amphilophium racemosum 	-70.3560	-3.7880
Amphilophium racemosum 	-69.9400	-4.2150
Amphilophium racemosum 	-71.7830	-2.1500
Amphilophium racemosum 	-72.3330	-0.4160
Amphilophium racemosum 	-72.2500	-0.6330
Amphilophium racemosum 	-63.1830	3.5500
Amphilophium racemosum 	-61.8000	-0.1500
Amphilophium racemosum 	-64.3660	4.0500
Amphilophium racemosum 	-65.3330	-9.6660
Amphilophium racemosum 	-49.6160	-3.8330
Amphilophium racemosum 	-49.9160	-0.9830
Amphilophium racemosum 	-52.2330	-1.7500
Amphilophium racemosum 	-55.8330	-1.7500
Amphilophium racemosum 	-57.5830	-7.5830
Amphilophium racemosum 	-47.1170	-1.1330
Amphilophium racemosum 	-67.2500	0.3300
Amphilophium racemosum 	-68.9170	-3.5670
Amphilophium racemosum 	-66.4160	-0.4160
Amphilophium racemosum 	-67.2500	0.0330
Amphilophium racemosum 	-61.4670	-3.7000
Amphilophium racemosum 	-59.7100	-2.7100
Amphilophium racemosum 	-70.8830	-5.2500
Amphilophium racemosum 	-65.5500	-1.8000
Amphilophium racemosum 	-60.2500	-2.5160
Amphilophium racemosum 	-62.9170	-0.4170
Amphilophium racemosum 	-61.1500	-0.5000
Amphilophium racemosum 	-69.4160	-1.4160
Amphilophium racemosum 	-57.6830	-3.3160
Amphilophium racemosum 	-57.8330	-4.5830
Amphilophium racemosum 	-61.8330	-6.1330
Amphilophium racemosum 	-62.2500	-7.8330
Amphilophium racemosum 	-64.4160	-0.4160
Amphilophium racemosum 	-62.8000	1.5330
Amphilophium racemosum 	-60.0830	-2.3160
Amphilophium racemosum 	-60.2830	-3.4170
Amphilophium racemosum 	-64.8500	-7.3000
Amphilophium racemosum 	-57.9500	-2.5000
Amphilophium racemosum 	-65.9160	-0.2500
Amphilophium racemosum 	-62.5330	-7.5830
Amphilophium racemosum 	-60.4000	-3.8000
Amphilophium racemosum 	-67.4000	-8.7500
Amphilophium racemosum 	-63.2830	0.8160
Amphilophium racemosum 	-60.9200	-1.4000
Amphilophium racemosum 	-73.9000	-8.3000
Amphilophium racemosum 	-65.0667	-9.0833
Amphilophium racemosum 	-67.2500	-13.0833
Amphilophium racemosum 	-66.1500	-10.9667
Anemopaegma paraense 	-65.8000	10.1500
Anemopaegma paraense 	-69.5160	9.6830
Anemopaegma paraense 	-66.8660	10.5500
Anemopaegma paraense 	-60.4730	8.5210
Anemopaegma paraense 	-67.1667	6.3500
Anemopaegma paraense 	-56.8333	5.6667
Anemopaegma paraense 	-73.6260	-3.8470
Anemopaegma paraense 	-74.5000	-5.0830
Anemopaegma paraense 	-73.2340	-3.7480
Anemopaegma paraense 	-73.2500	-3.6660
Anemopaegma paraense 	-73.7500	-4.9160
Anemopaegma paraense 	-73.8330	-5.0830
Anemopaegma paraense 	-72.2500	-2.9160
